City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
455,Altamira,BR,72.39,clear sky,-3.2033,-52.2064,Requinte Hotel
456,Kokstad,ZA,64.6,broken clouds,-30.5472,29.4241,Majestic Bed and Breakfast
458,Kinshasa,CD,75.58,light rain,-4.3246,15.3215,Flat Hotel Alhdeef
461,Diamantino,BR,74.23,overcast clouds,-14.4086,-56.4461,Hotel Delta
465,Caravelas,BR,72.43,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
467,Tifton,US,62.42,scattered clouds,31.4505,-83.5085,Hilton Garden Inn Tifton
470,Bilma,NE,76.24,clear sky,18.6853,12.9164,Expeditions Ténére voyages
471,Tomatlan,MX,75.25,broken clouds,19.9333,-105.25,El Salvial
472,Lake Charles,US,66.18,clear sky,30.2131,-93.2044,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
473,Kawanishi,JP,67.87,few clouds,34.8167,135.4167,Masumisou
477,Puerto Suarez,BO,72.48,scattered clouds,-18.95,-57.8,Hotel casa real
478,Haputale,LK,66.79,broken clouds,6.7681,80.9595,Leisure Mount View Holiday Inn
480,Byron Bay,AU,78.75,light rain,-28.65,153.6167,Backpackers Inn on the Beach
482,Sambava,MG,78.22,broken clouds,-14.2667,50.1667,Melrose
489,Lang Son,VN,70.61,overcast clouds,21.8333,106.7333,Khai Nga Hotel
490,San Jose,US,67.95,clear sky,37.3394,-121.895,The Westin San Jose
492,Saint-Joseph,RE,71.47,moderate rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
494,Dalby,AU,68.7,light rain,-27.1833,151.2667,Kobbers Motor Inn Dalby
506,Mandal,IN,78.28,clear sky,25.45,74.5667,पीपी वाले हनुमान जी
508,El Alto,PE,66.96,few clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
515,Taunggyi,MM,74.08,few clouds,20.7833,97.0333,True Treasure Hotel
519,Kaeo,NZ,71.33,scattered clouds,-35.1,173.7833,Bushido Lodge
522,Baoying,CN,68.29,clear sky,33.2292,119.3092,GreenTree Alliance Yangzhou Baoying Town Huaijiang Street East Taishan Road Hotel
529,Vilhena,BR,67.82,overcast clouds,-12.7406,-60.1458,Hotel Mirage
530,Pacaembu,BR,71.11,broken clouds,-21.5622,-51.2606,Pousada Eliana e Otavio Pacaembu
532,Houma,US,64.99,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
533,Salina Cruz,MX,77.77,scattered clouds,16.1667,-95.2,Amerik HOTEL
534,Alappuzha,IN,79.36,light rain,9.49,76.3264,Panoramic Sea Resort
538,Beidao,CN,63.66,clear sky,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
