City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
196,Asfi,32.2994,-9.2372,64.17,88,70,6.42,MA,broken clouds
197,Port-De-Bouc,43.4,4.9833,59.58,67,0,11.5,FR,clear sky
198,Kaitangata,-46.2817,169.8464,58.37,75,43,6.4,NZ,scattered clouds
199,Chyhyryn,49.0838,32.6555,46.47,93,17,4.38,UA,few clouds
200,Winona,43.9666,-91.7668,48.0,100,90,5.75,US,drizzle
201,Ostrovnoy,68.0531,39.5131,29.61,92,100,21.3,RU,light snow
202,Dingle,10.9995,122.6711,84.61,74,80,11.99,PH,broken clouds
203,Dhidhdhoo,6.8833,73.1,79.83,80,100,5.64,MV,overcast clouds
204,Havre-Saint-Pierre,50.2334,-63.5986,42.8,65,1,10.36,CA,clear sky
205,Kruisfontein,-34.0033,24.7314,62.89,83,91,10.38,ZA,overcast clouds
206,Bonfim,3.0833,-59.95,79.11,73,95,3.0,BR,overcast clouds
207,Luanda,-8.8368,13.2343,74.39,80,100,3.53,AO,light rain
208,Date,42.4681,140.8681,52.66,63,88,9.4,JP,overcast clouds
209,Semey,50.4111,80.2275,30.42,100,90,4.47,KZ,fog
210,Matagami,49.7502,-77.6328,33.91,80,1,4.61,CA,clear sky
211,Upernavik,72.7868,-56.1549,21.16,57,100,4.65,GL,overcast clouds
212,Aranos,-24.1333,19.1167,67.86,52,5,4.21,NA,clear sky
213,Uray,60.1247,64.7758,23.68,71,100,16.49,RU,overcast clouds
214,Odweyne,9.4092,45.064,73.04,41,4,9.86,SO,clear sky
215,Esperance,-33.8667,121.9,57.04,60,84,11.1,AU,broken clouds
216,Yerbogachen,61.2767,108.0108,21.63,67,10,10.4,RU,clear sky
217,Acapulco,16.8634,-99.8901,79.09,84,41,3.87,MX,scattered clouds
218,Port Hardy,50.6996,-127.4199,48.2,93,40,8.05,CA,scattered clouds
219,Dolinsk,47.35,142.8,48.06,68,52,8.99,RU,broken clouds
220,Turukhansk,65.8167,87.9833,21.38,93,100,20.78,RU,light snow
221,Mayahi,13.9553,7.6712,79.54,16,98,7.43,NE,overcast clouds
222,Olafsvik,64.8945,-23.7142,40.8,92,100,33.4,IS,light rain
223,Sivas,39.7916,37.0019,39.83,100,75,13.8,TR,broken clouds
224,Saint George,37.1041,-113.5841,64.99,52,1,1.01,US,clear sky
225,Marsh Harbour,26.5412,-77.0636,80.94,81,100,16.87,BS,overcast clouds
226,Dalvik,65.9702,-18.5286,39.13,99,100,14.65,IS,light rain
227,Zhengjiatun,43.5064,123.5064,59.27,29,100,11.32,CN,overcast clouds
228,Mayo,38.8876,-76.5119,60.19,84,90,11.99,US,overcast clouds
229,Tuatapere,-46.1333,167.6833,60.69,77,59,8.81,NZ,broken clouds
230,Gat,31.61,34.7642,73.4,31,72,1.61,IL,broken clouds
231,Udachnyy,66.4167,112.4,4.87,93,100,17.6,RU,overcast clouds
232,Mahebourg,-20.4081,57.7,77.29,78,40,10.36,MU,light intensity shower rain
233,Harlingen,26.1906,-97.6961,69.89,45,1,4.61,US,clear sky
234,Aykhal,66.0,111.5,3.81,94,100,12.17,RU,overcast clouds
235,Shujaabad,29.8797,71.2931,75.25,16,0,2.3,PK,clear sky
236,Lieksa,63.3167,30.0167,48.94,97,100,13.04,FI,overcast clouds
237,Mahibadhoo,3.7833,72.9667,82.44,75,69,8.7,MV,broken clouds
238,Hualmay,-11.0964,-77.6139,62.78,87,72,8.93,PE,broken clouds
239,Dongsheng,39.8161,109.9776,52.14,26,1,15.19,CN,clear sky
240,Vao,-22.6667,167.4833,71.71,71,55,14.32,NC,broken clouds
241,Bandarbeyla,9.4942,50.8122,79.16,64,1,7.2,SO,clear sky
242,Warmbad,-28.45,18.7333,58.35,56,0,6.29,NA,clear sky
243,Wolbrom,50.3796,19.7583,44.02,80,15,2.68,PL,few clouds
244,Mana,5.6592,-53.7767,77.99,90,99,7.56,GF,overcast clouds
245,Palmer,42.1584,-72.3287,40.21,89,1,0.0,US,clear sky
246,Tiksi,71.6872,128.8694,12.54,94,100,5.23,RU,overcast clouds
247,Saint-Pierre,-21.3393,55.4781,72.57,89,75,12.66,RE,light intensity drizzle rain
248,Naze,28.3667,129.4833,76.12,52,75,8.99,JP,broken clouds
249,Kahului,20.8947,-156.47,78.82,81,1,13.8,US,clear sky
250,Nanma,36.1817,118.1583,65.21,50,51,6.31,CN,broken clouds
251,Ventersburg,-28.0856,27.1381,60.24,82,71,13.27,ZA,broken clouds
252,Morondava,-20.2833,44.2833,72.3,56,37,10.89,MG,scattered clouds
253,Payakumbuh,-0.2202,100.6308,88.32,53,90,3.38,ID,overcast clouds
254,Portland,45.5234,-122.6762,67.6,85,90,1.99,US,overcast clouds
255,Shache,38.4167,77.2406,55.0,25,50,3.6,CN,scattered clouds
256,Kango,0.1943,10.0951,72.32,99,78,1.34,GA,broken clouds
257,Ashtabula,41.7001,-80.7665,58.77,84,1,8.05,US,clear sky
258,Vila Franca Do Campo,37.7167,-25.4333,72.01,93,95,21.41,PT,overcast clouds
